id,authors,year_of_publication,title,abstract,abbreviation,journal_name,journal_volume,journal_issue,pages,created_at,updated_at      
802,"Aguilar-Garcia C., Gavino G., Baragano-Mosqueda M., Hevia P., Gavino V.C.",2007,"Correlation of tocopherol, tocotrienol, gamma-oryzanol and total polyphenol content in rice bran with different antioxidant capacity assays","The relationship between antioxidant capacity and levels of various antioxidants in rice bran and brown rice powder was evaluated. Three different varieties of Venezuelan rice, namely, Cimarrón, Zeta 15 and FONAIAP-1, were studied using ferric reducing antioxidant power (FRAP), 2,2′-azinobis-3-ethylbenzotiazoline-6-sulphonic acid (ABTS), and oxygen radical absorbance capacity (ORAC) to measure antioxidant capacity. The results showed that rice varieties contained different levels and combinations of total polyphenols, γ-oryzanol, α- and γ-tocopherols and α-, γ- and δ-tocotrienols. Compared to brown rice powder, rice bran contained most of the antioxidants and had correspondingly higher values of antioxidant capacity. Principal components analysis and multiple regression on the data indicate that FRAP was sensitive to polyphenols and total tocotrienols, while ORAC was sensitive to polyphenols and total tocopherols. ABTS was the least sensitive of all assays tested. Thus, results from antioxidant capacity assays must be interpreted with caution particularly in complex systems and that further study is necessary to define more precisely the nature of the relevant chemical reactions.
",AGUILAR-GARCIA 2007,Food Chemistry,102,,1228-1232,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
1184,"Aguilera Y., Duenas M., Estrella I., Hernandez T., Benitez V., Esteban R.M., Martin-Cabrejas M.A.",2010,Evaluation of Phenolic Profile and Antioxidant Properties of Pardina Lentil As Affected by Industrial Dehydration,"This study presents the effects of soaking, cooking, and industrial dehydration treatments on phenolic profile and also on antioxidant properties in Pardina lentil. HPLC-PAC and HPLC-MS (ESI) analysis identified a total of 35 phenolic compounds in raw and processed lentil flours, corresponding to catechins and procyanidins (69% of the total of identified phenolic compounds), flavonols (17%), flavones, and flavanones (5%), and hydroxybenzoic and hydroxycinnamic compounds (5 and 4%, respectively). During the industrial process, catechins and procyanidins, flavonols, flavones, and flavanones decreased, while hydroxybenzoic compounds exhibited an important increase. In addition, raw lentils showed high values of the antioxidant activity (66.97 μmol Trolox/g); although the thermal processing promotes decreased, the levels of antioxidant activity were still relevant. Thus, the significant occurrence of bioactive phenolic compounds along with the interesting antioxidant capacity of dehydrated lentil flours make them useful for daily inclusion in the human diet as ready-to-use for special meals to specific populations.",AGUILERA 2010,Journal of Agricultural and Food Chemistry,58,18,10101-1010,2015-04-13 21:45:30 UTC,2015-04-14 04:25:34 UTC      
853,"Akasbi M., Shoeman D.W., Csallany A.S.",1993,High-Performance Liquid-Chromatography of Selected Phenolic-Compounds in Olive Oils,"A reverse-phase high-performance liquid chromatographic technique with isocratic elution has been developed to separate and quantitate the major phenolic compounds of the hydroalcoholic extracts of olive oils. Hydroxytyrosol, tyrosol, caffeic acid,p-hydroxyphenylacetic acid and homovanillic acid were analyzed on a μBonapak C18 column with an acetonitrile/water/acetic acid (20:90:0.18, vol/vol/vol) mixture as a mobile phase. Electrochemical detection provided selectivity as well as sensitivity. The method was applied to the analysis of the most important phenolic compounds in olive oils.

",AKASBI 1993,Journal of the American Oil Chemists' Society,70,4,367-370,2015-04-13 21:45:28 UTC,2015-04-14 04:25:35 UTC      
876,"Akitha Devi M.K., Mahendranath G., Sakthivelu G., Giridhar P., Rajasekaran T., Ravishankar G.A.",2009,"Functional attributes of soybean seeds and products, with reference to isoflavone content and antioxidant activity","Isoflavone levels and isoflavone chemical composition in 11 cultivars of soybean, including 4 Indian and 7 genotypes of soybean grown in Bulgaria, were analyzed as determined by C 18 reversed phase high-performance liquid chromatography coupled with a photodiode array detector. Antioxidant activity of soybean extracts was assessed using the 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical scavenging activity, and total phenolic compounds (TPC) were determined by using Folin-Ciocalteu reagent. The range of total isoflavones (TI) was 558.2-1048.6 microg g (-1) of soy in Indian cultivars, and it was 627.9-1716.9 microg g (-1) of soy in the case of Bulgarian cultivars. The highest and lowest total isoflavone contents were observed for Maus-2 (1048.6 microg g (-1) of soy) and Hardee (558.2 microg g (-1) of soy), respectively, for the Indian cultivars, and they were observed for Boryara (1716.9 microg g (-1) of soy) and Line 5 (627.9 microg g (-1) of soy) for the Bulgarian genotypes. DPPH radical scavenging activity did not differ significantly among the cultivars and did not correlate with TI, whereas TPC correlated well with TI and weakly with DPPH. Malonylglucoside of all the aglycones, total genistein (TGin), and total daidzein (TDin) showed strong correlation with total isoflavones, whereas acetylglucoside and aglycone levels did not significantly correlate with total isoflavone. Profiling of soybean isoflavone is helpful in understanding the regulation of isoflavone biosynthesis for greater improved resistance of crops to disease and greater health benefits for humans. This comparative study of soybean cultivars grown in India and Bulgaria throws light on their composition and nutraceutical value.",AKITHA DEVI 2009,Food Chemistry,114,3,771-76,2009-04-06 16:15:43 UTC,2015-04-13 21:45:28 UTC      
839,"Al-Farsi M., Alasalvar C., Morris A., Baron M., Shahidi F.",2005,"Comparison of antioxidant activity, anthocyanins, carotenoids, and phenolics of three native fresh and sun-dried date (Phoenix dactylifera L.) varieties grown in Oman","Fresh and sun-dried dates of three native varieties from Oman, namely, Fard, Khasab, and Khalas, were examined for their antioxidant activity and total contents of anthocyanins, carotenoids, and phenolics, as well as free and bound phenolic acids. All results are expressed as mean value +/- standard deviation (n = 3) on a fresh weight basis. Fresh date varieties were found to be a good source of antioxidants (11687-20604 micromol of Trolox equiv/g), total contents of anthocyanins (0.24-1.52 mg of cyanidin 3-glucoside equiv/100 g), carotenoids (1.31-3.03 mg/100 g), phenolics (134-280 mg of ferulic acid equiv/100 g), free phenolic acids (2.61-12.27 mg/100 g), and bound phenolic acids (6.84-30.25 mg/100 g). A significant (p < 0.05) amount of antioxidants and carotenoids was lost after sun-drying of dates, whereas the total content of phenolics and free and bound phenolic acids increased significantly (p < 0.05). Anthocyanins were detected only in fresh dates. Date varieties had different levels and patterns of phenolic acids. Four free phenolic acids (protocatechuic acid, vanillic acid, syringic acid, and ferulic acid) and nine bound phenolic acids (gallic acid, protocatechuic acid, p-hydroxybenzoic acid, vanillic acid, caffeic acid, syringic acid, p-coumaric acid, ferulic acid, and o-coumaric acid) were tentatively identified. Of the date varieties studied, Khalas, which is considered to be premium quality, had higher antioxidant activity, total carotenoids, and bound phenolic acids than other varieties. These results suggest that all date varieties serve as a good source of natural antioxidants and could potentially be considered as a functional food or functional food ingredient, although some of their antioxidant constituents are lost during sun-drying.",AL-FARSI 2005,Journal of Agricultural and Food Chemistry,53,19,7592-7599,2015-04-13 21:45:28 UTC,2015-04-14 04:25:36 UTC      
840,"Al-Farsi M., Alasalvar C., Al-Abid M., Al-Shoaily K., Al-Amry M., Al-Rawahy F.",2007,"Compositional and functional characteristics of dates, syrups, and their by-products","Three native sun-dried date varieties from Oman (namely Mabseeli, Um-sellah, and Shahal), as well as their syrups and by-products (press cake and seed) were examined for their proximate composition, dietary fibre, total phenolics, and total antioxidant activity. Carbohydrate was the predominant component in all date varieties, syrups, and their by-products, followed by moisture, along with small amounts of protein, fat, and ash. Press cakes had the highest protein content, ranging in concentration from 3.62 g/100 g in Shahal to 5.23 g/100 g in Mabseeli, whereas fat was the highest in seeds and ranged from 5.02 g/100 g in Mabseeli to 5.90 g/100 g in Um-sellah. Seeds and press cakes were found to be good sources of dietary fibre, varied between 77.75 and 80.15 g/100 g fresh weight and between 25.39 and 33.81 g/100 g fresh weight, respectively. Among dates, syrups, and their by-products, seeds had the highest contents of total phenolics (3102–4430 mg of gallic acid equivalents/100 g fresh weight) and antioxidant activity (580–929 μmol of Trolox equivalents/g fresh weight). The results obtained suggest that date by-products (particularly seeds) serve as a good source of natural antioxidants and could potentially be considered as a functional food or functional food ingredient.
",AL-FARSI 2007,Food Chemistry,104,3,943-947,2015-04-13 21:45:28 UTC,2015-04-13 21:45:28 UTC      
1206,"Alajaji S.A., El-Adawy T..A.",2006,Nutritional composition of chickpea (Cicer arietinum L.) as affected by  microwave cooking and other traditional cooking methods,"The effects of microwave cooking and other traditional cooking methods such as boiling and autoclaving on the nutritional composition and anti-nutritional factors of chickpeas (Cicer arietinum L.) were studied. Cooking treatments caused significant (
) decreases in fat, total ash, carbohydrate fractions (reducing sugars, sucrose, raffinose and stachyose, while verbascose was completely eliminated after cooking treatments), antinutritional factors (trypsin inhibitor, haemagglutinin activity, tannins, saponins and phytic acid), minerals and B-vitamins. Cooking treatments decreased the concentrations of lysine, tryptophan, total aromatic and sulfur-containing amino acids. However, cooked chickpeas were still higher in lysine, isoleucine and total aromatic amino acid contents than the FAO/WHO reference. The losses in B-vitamins and minerals in chickpeas cooked by microwaving were smaller than those cooked by boiling and autoclaving. In-vitro protein digestibility, protein efficiency ratio and essential amino acid index were improved by all cooking treatments. The chemical score and limiting amino acid of chickpeas subjected to the various cooking treatments varied considerably, depending on the type of treatment. Based on these results, microwave cooking is recommended for chickpea preparation, not only for improving nutritional quality (by reducing the level of antinutritional and flatulence factors as well as increasing in-vitro protein digestibility and retention rates of both B-vitamins and minerals), but also for reducing cooking time.",ALAJAJI 2006,Journal of Food Composition and Analysis,19,8,806-812,2015-04-13 21:45:30 UTC,2015-04-13 21:45:30 UTC      
641,"Alamprese C., Pompei C., Scaramuzzi F.",2005,Characterization and antioxidant activity of nocino liqueur,"Nocino is an after-dinner liqueur made with green, unripe walnuts, appreciated both for its appealing flavour and aroma, and for its properties as a tonic and digestive aid. There is a large number of recipes for the production of nocino and the industrial production coexists with preparations at home. The liqueur has never been scientifically investigated; thus the aim of this work was to examine various kinds of it. Three sets of samples were considered: Commercial brands, home-made nocino and, among the latter, samples made for years with the same recipe and aged for different times, up to 25 years. In the commercial products, the phenolic profiles and the antioxidant activities were widely variable. The antioxidant activity proved to be directly correlated with the content of total phenols, total tannins and non-tannin phenolics. Study of samples aged for different lengths of time showed that the characteristics considered remained substantially unchanged during the aging process.
",ALAMPRESE 2005,Food Chemistry,90,4,495-502,2015-04-13 21:45:27 UTC,2015-04-13 21:45:27 UTC      
418,"Alasalvar C., Grigor J.M., Zhang D., Quantick P.C., Shahidi F.",2001,"Comparison of volatiles, phenolics, sugars, antioxidant vitamins, and sensory quality of different colored carrot varieties","Four different colored carrots, orange, purple with orange core, yellow, and white, were examined for their content of phenolics, antioxidant vitamins, and sugars as well as their volatiles and sensory responses. A total of 35 volatiles were identified in all carrots, 27 positively. White carrot contained the highest content of volatiles, followed by orange, purple, and yellow. In total, 11, 16, 10, and 9 phenolic compounds were determined for the first time in orange, purple, yellow, and white carrots, respectively. Of these, chlorogenic acid was the most predominant phenolic compound in all carrot varieties. Differences (p < 0.05) in relative sweetness, the contents of vitamin C and alpha- and beta-carotenes, and certain flavor characteristics were observed among the colored carrot varieties examined. Purple carrots contained 2.2 and 2.3 times more alpha- and beta-carotenes (trace in yellow; not detected in white) than orange carrots, respectively. Purple carrot may be used in place of other carrot varieties to take advantage of its nutraceutical components.",ALASALVAR 2001,Journal of Agricultural and Food Chemistry,49,3,1410-1416,2006-11-07 09:41:34 UTC,2015-04-14 04:25:37 UTC      
1197,"Alasalvar C., Pelvan E.",2010,Effects of Roasting on Taste-Active Compounds of TurkisH Hazelnut Varieties (Corylus avellana L.),"The effect of roasting on taste-active components of 18 native hazelnut varieties, grown in the Giresun province of Turkey, was assessed. Samples were examined for their sugars, organic acids, condensed tannins, and free phenolic acids. Six sugars (fructose, glucose, sucrose, myo-inositol, raffinose, and stachyose), seven organic acids (oxalic, maleic, citric, malic, lactic, succinic, and acetic), and one phenolic acid (gallic acid) were positively identified in natural and roasted hazelnut varieties; among these, sucrose, malic acid, and gallic acid predominated, respectively. Total sugars among hazelnut varieties ranged from 1.99 to 4.94 g/100 g, organic acids from 0.96 to 2.72 g/100 g, condensed tannins from 3.99 to 40.56 mg of catechin equivalents/g, and gallic acid from 0.159 to 0.871 mg/100 g. Differences existed in the sugar and organic acid contents between natural and roasted hazelnut varieties, but they did not follow any particular trend. Significant losses (p < 0.05) in condensed tannins ( approximately 97.3%) and gallic acid ( approximately 66.7%) were noted when the hazelnuts were roasted. The present work suggests that roasting resulted in significant loss in condensed tannins and gallic acid due to the removal of the brown skin. The effect of roasting on sugars and organic acids was not noteworthy.",ALASALVAR 2010,Journal of Agricultural and Food Chemistry,58,,8674-8679,2015-04-13 21:45:30 UTC,2015-04-14 04:25:37 UTC      
1217,"Alighourchi H., Barzegar M., Abbasi S.",2008,Anthocyanins characterization of 15 Iranian pomegranate (Punica granatum L.) varieties and their variation after cold storage and pasteurization,"Anthocyanins (ACs) are phenolic compounds that are distributed widely in fruits and vegetables. Apart from imparting color to plants, ACs also have an array of health-promoting benefits. In this research, the amounts of major ACs of 15 pomegranate (Punica granatum L.) varieties obtained from Yazd province were determined. The major ACs detected in the studied varieties were as follows: delphinidin 3-glucoside (2.19–16.29 mg/L), delphinidin 3,5-diglucoside (2.36–63.07 mg/L), pelargonidin 3-glucoside (0.26–1.36 mg/L), pelargonidin 3,5-diglucoside (0.01–8.11 mg/L), cyanidin 3-glucoside (5.78–30.38 mg/L), and cyanidin 3,5-diglucoside (4.39–166.32 mg/L). The effect of storage time of unprocessed and pasteurized juices on ACs content of four selected varieties was also studied. Average degradation percentage of each AC was between 23.0 and 83.0% during 10 days at 4 °C. Moreover, in pasteurized juices average degradation of ACs was 42.8 ± 0.5% after 10 weeks storage at 4 °C.

",ALIGHOURCHI 2008,European Food Research and Technology,227,3,881-887,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
1218,"Alonso R., Aguirre A., Marzo F.",2000,Effects of extrusion and traditional processing methods on antinutrients and in vitro digestibility of protein and starch in faba and kidney beans,"Comparative effects of extrusion cooking and conventional processing methods on protein content and reduction of antinutritional factor (phytic acid, condensed tannins, polyphenols, trypsin, chymotrypsin, α-amylase inhibitors and haemagglutinating activity) levels in Vicia faba and Phaseolus vulgaris seeds were studied. In vitro protein and starch digestibilities were assessed. P. vulgaris seeds showed highest levels of condensed tannins, chymotrypsin and α-amylase inhibitory activities and haemagglutinating activity. Dehulling significantly increased protein content and greatly reduced condensed tannin and polyphenol levels in both legumes. Extrusion was the best method to abolish trypsin, chymotrypsin, α-amylase inhibitors and haemagglutinating activity without modifying protein content. Furthermore, this thermal treatment was most effective in improving protein and starch digestibilities when compared with dehulling, soaking and germination.
",ALONSO 2000,Food Chemistry,68,2,159-165,2012-12-01 22:21:08 UTC,2015-04-13 21:45:30 UTC      
